"Name","X1_aq.mzML","X13_aq.mzML","X133_aq.mzML","X134_aq.mzML","X135_aq.mzML","X136_aq.mzML","X140_aq.mzML","X142_aq.mzML","X143_aq.mzML","X144_aq.mzML","X146_aq.mzML","X147_aq.mzML","X148_aq.mzML","X150_aq.mzML","X161_aq.mzML","X162_aq.mzML","X164_aq.mzML","X167_aq.mzML","X168_aq.mzML","X169_aq.mzML","X170_aq.mzML","X172_aq.mzML","X173_aq.mzML","X174_aq.mzML","X175_aq.mzML","X176_aq.mzML","X16_aq.mzML","X17_aq.mzML","X18_aq.mzML","X19_aq.mzML","X20_aq.mzML","X21_aq.mzML","X22_aq.mzML","X2_aq.mzML","X23_aq.mzML","X25_aq.mzML","X26_aq.mzML","X27_aq.mzML","X29_aq.mzML","X30_aq.mzML","X31_aq.mzML","X32_aq.mzML","X33_aq.mzML","X3_aq.mzML","X35_aq.mzML","X36_aq.mzML","X40_aq.mzML","X41_aq.mzML","X42_aq.mzML","X43_aq.mzML","X45_aq.mzML","X46_aq.mzML","X5_aq.mzML","X48_aq.mzML","X49_aq.mzML","X151_aq.mzML","X152_aq.mzML","X155_aq.mzML","X156_aq.mzML","X6_aq.mzML","X51_aq.mzML","X52_aq.mzML","X53_aq.mzML","X54_aq.mzML","X56_aq.mzML","X58_aq.mzML","X59_aq.mzML","X60_aq.mzML","X61_aq.mzML","X62_aq.mzML","X7_aq.mzML","X63_aq.mzML","X66_aq.mzML","X68_aq.mzML","X69_aq.mzML","X71_aq.mzML","X73_aq.mzML","X75_aq.mzML","X76_aq.mzML","X77_aq.mzML","X78_aq.mzML","X8_aq.mzML","X80_aq.mzML","X81_aq.mzML","X82_aq.mzML","X83_aq.mzML","X84_aq.mzML","X85_aq.mzML","X86_aq.mzML","X88_aq.mzML","X90_aq.mzML","X10_aq.mzML","X93_aq.mzML","X101_aq.mzML","X103_aq.mzML","X104_aq.mzML","X107_aq.mzML","X109_aq.mzML","X112_aq.mzML","X115_aq.mzML","X11_aq.mzML","X122_aq.mzML","X123_aq.mzML","X124_aq.mzML","X125_aq.mzML","X127_aq.mzML","X128_aq.mzML","X129_aq.mzML","X130_aq.mzML","X131_aq.mzML","X132_aq.mzML"
"Blautia massiliensis",3.424,2.041,0.503,1.709,0.063,0.057,0.361,0.323,0.072,1.447,2.152,0.037,1.696,0.166,1.212,0.308,0,5.911,0.537,3.095,2.441,0.101,2.123,0.064,1.846,0.311,0.295,3.276,1.189,2.029,5.726,0.259,0.394,0.502,0.299,0.264,3.224,0.324,0.299,0.072,0.847,0.917,1.094,0.036,0.574,0.542,1.157,1.483,0.44,0.694,2.113,0.13,0.44,0.339,0.606,0.814,1.072,2.352,2.277,0.226,0.473,0.104,3.109,0.189,0.239,0.083,0.062,0.136,0.051,0.285,0.743,1.3,0.073,0.892,0.939,0.403,0.387,0.336,0.599,0.313,0.027,1.113,1.254,0.088,0.287,0.262,0.077,0.093,1.716,0.454,0.799,1.291,3.227,0.036,0.349,0.025,0.224,1.15,2.331,0.061,0.388,0.512,0.011,1.165,0.58,0.593,0.8,1.205,0.232,0.233,0.961
"Blautia sp. AF19-10LB",1.286,0.136,0.154,0.329,0.029,0.037,0.201,0.073,0.191,0.064,0.681,0.029,0.086,0.102,0.025,0.029,0,0.037,0.259,0.059,0.097,0.022,0.046,0.032,1.25,0.116,0.321,0.061,0.907,0.141,0.284,1.76,0.053,0.151,0.164,0.029,0.043,0.051,0.028,0.045,0.038,0.084,0.03,0.074,0.034,0.488,0.032,0.05,0.022,0.594,0.068,0.016,0.062,0.189,0.372,0.182,1.528,0.639,0.25,0.088,0.527,0.142,0.145,0.069,0.026,0,0.073,0.028,0.451,0.082,0.027,0.086,0.01,0.038,0.076,0.084,0.04,0.034,0.096,0.227,1.527,0.466,0.024,0.065,0.038,0.06,0.041,0.031,0.041,0.043,0.033,0.104,0.082,0.014,0.211,0.035,0.041,0.349,0.137,0.011,0.033,0.048,0,0.034,0.013,0.394,0.047,0.053,2.254,0.015,0.031
"Blautia sp. SG-772",0.908,0.207,0.254,0.371,0.011,0.008,0.72,0.159,0.059,0.161,0.011,0.025,0.27,1.024,0.008,0,0,0.034,0.261,0.483,0.033,0.251,0.18,0.02,0.02,0.011,0.65,2.447,0.518,0.418,0.445,0.182,0.061,0.538,0.839,0.25,1.111,0.139,0.09,0.018,0.514,0.49,0.346,0.03,0.439,0.496,0.42,0.17,0.223,0.515,0.02,0.086,0.447,0.176,0.542,0.309,1.848,0.375,0.127,0.272,0.21,0.034,0.039,0.173,0.046,0,0.014,0.16,0.029,0.819,0.797,0.655,0.07,0.258,1.495,0.147,0.181,0.422,0.185,0.15,0.025,0.3,0.008,0.357,0.607,0.027,0.016,0.224,0.022,0.447,0.305,0.029,0.34,0.008,0.597,0.013,0.491,0.025,0.813,0.031,0.439,0.197,0,0.271,0,0.021,0.007,0.269,0.231,0.568,0.031
"Blautia sp. OF03-15BH",0.287,0.08,0.053,0.09,0.029,0.018,0.141,0.035,0.049,0.027,0.013,0.014,0.07,0.008,0.007,0,0,0.107,0.067,0.032,0.016,0.042,0.036,0.012,0.017,0,0.105,0.074,0.107,0.091,0.055,0.063,0.026,0.029,0.047,0.093,0.064,0.074,0.029,0.01,0.077,0.023,0.209,0.024,0.052,0.037,0.046,0.077,0.041,0.01,0.031,0.067,0.098,0.057,0.019,0.061,0.119,0.035,0.04,0.027,0.069,0.032,0.027,0.029,0.024,0,0.014,0.027,0.02,0.02,0.079,0.125,0.008,0.068,0.188,0.017,0.026,0.044,0.023,0.063,0.016,0.02,0.009,0.021,0.01,0.02,0.061,0,0.036,0.053,0.133,0.043,0.023,0.011,0.047,0.006,0.021,0.05,0.039,0.007,0.105,0.022,0,0.014,0,0.037,0.007,0.045,0.031,0,0.016
"Blautia sp. Marseille-P3087",0.112,0.193,0.165,0.221,0.009,0.014,0.124,0.066,0.035,0.023,0.033,0.014,0.197,0.038,0.009,0.031,0,0.168,0.043,0.037,0.018,0.028,0.034,0.02,0.022,0,0.183,0.038,0.11,0.235,1.755,0.118,0.144,0.382,0.143,0.329,0.556,0.088,0.048,0.024,0.098,0,0.122,0.029,0.047,0.055,0.036,0.082,0.109,0.022,0.022,0.035,0.1,0.05,0.025,0.678,0.313,0.13,0.048,0.017,0.053,0.154,0.025,0.035,0.118,0,0.179,0.121,0.031,0.067,0.087,0.308,0.022,0.129,0.088,0.118,0.066,0.032,0.029,0.124,0.019,0.016,0.016,0.041,0.02,0.119,0.03,0.016,0.122,0.031,0.217,0.113,0.039,0,0.045,0.011,0.298,0.081,0.09,0,0.101,0.104,0,0.012,0.022,0.128,0,0.137,0.025,0,0.03
"Blautia sp. Marseille-P3201T",0.011,0.009,0,0.017,0.031,0.046,0.01,0.011,0,0,0.012,0.319,0.008,0.052,0.008,0.023,0,0.009,0.01,0.032,0,0.009,0.008,0.174,0.009,0.02,0,0.145,0.01,0,0,0.013,0.009,0.012,0,0,0,0.009,0,0.008,0,0,0,0.01,0,0,0,0.01,0,0.118,0.043,0,0,0,0,0.008,0.011,0.019,0.009,0,0.013,0.009,0.023,0,0,0,0.012,0,0,0,0,0,0,0,0.012,0.014,0,0.009,0,0,0.01,0.008,0,0,0.012,0.01,0.017,0.027,0.021,0,0,0.021,0.01,0.171,0.027,0.034,0.02,0.01,0.012,0,0.022,0,0,0,0,0.01,0.014,0,0.031,0.014,0.011
"Blautia sp. An81",0.008,0,0.008,0.023,0.011,0.03,0.012,0.009,0,0.008,0.01,0.038,0.019,0.011,0.007,0,0,0,0.017,0,0.011,0,0.022,0.031,0.009,0,0.007,0.01,0.011,0.008,0.016,0.007,0.013,0,0,0.01,0,0,0,0.023,0.008,0,0.011,0,0.072,0,0,0,0.008,0.008,0.018,0,0,0,0,0.008,0.008,0.009,0.018,0,0.009,0.064,0.012,0,0.023,0,0.017,0,0.008,0,0,0,0,0,0.023,0.009,0.007,0.007,0,0.015,0,0,0,0,0.008,0.011,0.008,0.01,0.014,0,0.037,0.013,0.012,0.028,0.01,0,0.012,0.01,0.008,0,0,0,0,0,0,0.009,0.024,0.007,0.012,0,0.011
"uncultured Blautia sp.",1.804,1.386,1.244,1.052,0.243,2.772,1.119,0.344,0.218,0.247,0.418,6.895,0.369,0.585,0.2,0.604,0,0.667,0.776,0.564,0.237,0.651,0.261,0.939,0.613,0.21,0.816,1.542,3.216,2.348,0.4,0.744,0.314,2.173,0.288,0.363,0.345,0.606,0.2,0.204,0.366,0.705,0.32,0.649,0.267,0.506,0.491,0.276,0.367,0.74,0.559,0.184,0.426,0.331,0.217,1.094,1.175,0.562,0.503,0.185,0.883,0.868,0.668,0.404,0.276,0.042,0.286,0.237,0.378,0.169,0.312,0.335,0.12,0.286,6.839,0.664,0.688,0.451,0.384,0.437,0.314,0.254,0.154,0.321,0.542,1.001,0.417,0.343,0.506,0.599,0.477,1.3,0.324,0.933,1.36,0.219,0.353,0.299,0.357,0.109,0.462,0.235,0.011,0.141,0.104,0.807,0.24,0.32,1.888,0.318,0.324
"Blautia wexlerae",2.698,2.033,2.948,2.86,4.411,5.34,2.516,0.716,0.785,1.921,2.834,0.115,2.636,3.395,1.412,0.765,0,0.98,1.732,1.749,1.433,2.066,2.64,5.273,3.994,1.935,1.161,4.888,2.492,4.176,2.916,0.685,1.879,3.844,1.734,0.763,1.476,2.472,0.243,0.305,1.036,0.278,1.025,1.535,0.416,1.201,1.224,1.591,1.236,2.259,10.605,0.272,0.991,0.576,1.547,3.053,2.153,3.318,0.908,1.168,0.862,4.143,1.581,0.945,1.065,0.092,7.092,0.294,3.727,1.913,1.101,0.561,0.281,0.684,2.036,9.719,1.12,1.526,1.509,1.237,0.082,0.967,0.707,0.773,2.321,1.602,1.774,4.066,1.339,1.745,0.684,2.432,2.371,0.257,2.251,5.78,1.182,1.818,1.521,0.642,0.745,0.928,0,1.151,0.698,1.448,4.448,0.874,2.692,0.722,3.584
"Blautia obeum",0.701,2.413,0.5,1.203,0.033,0.048,2.526,0.748,0.69,0.649,0.075,0.031,2.933,3.08,0.048,0.035,0,0.342,0.213,1.424,0.058,0.128,0.762,0.046,0.047,0.027,2.367,0.427,1.169,0.546,0.262,0.315,0.614,1.693,0.57,0.245,0.875,1.225,0.21,3.223,0.757,0.099,0.192,1.445,0.238,0.736,0.529,0.676,0.463,0.03,0.472,0.152,3.017,0.265,0.402,1.972,6.707,1.596,0.189,0.167,2.915,1.56,0.693,0.254,0.371,0.09,3.16,0.205,0.068,0.257,0.323,0.756,0.155,1.406,0.587,0.47,0.576,0.542,0.207,2.15,1.095,0.485,1.19,3.948,0.664,0.115,0.7,0.054,0.252,0.219,0.349,0.778,2.611,0.036,0.287,0.027,0.295,0.744,0.585,0.028,0.58,0.848,0,0.062,0.22,0.586,0.063,2.314,0.735,0.032,0.076
