Name,1,10,100,101,102,103,104,105,106,107,108,109,11,110,111,112,113,114,115,116,117,118,119,12,120,121,122,123,124,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,97,98,99
Blautia massiliensis,0.03424,0.02041,0.00503,0.01709,0.00063,0.00057,0.00361,0.00323,0.00072,0.01447,0.02152,0.00037,0.01183,0.01696,0.00166,0.01212,0.00308,0,0.00469,0.05911,0.00537,0.03095,0.02441,0.0007,0.00101,0.02123,0.00064,0.01846,0.00311,0.00295,0.03276,0.01189,0.02029,0.05726,0.00259,0.00394,0.00502,0.00299,0.00264,0.03224,0.00324,0.00421,0.00299,0.00072,0.00847,0.00917,0.01094,0.00036,0.00574,0.00542,0.01083,0.00759,0.01157,0.01483,0.0044,0.00694,0.02113,0.0013,0.0044,0.00339,0.00606,0.00814,0.01072,0.02352,0.02277,0.0189,0.00021,0.01334,0.00659,0.00226,0.00473,0.00104,0.03109,0.00189,0.00239,0.00083,0.00062,0.00136,0.00051,0.00285,0.00743,0.013,0.00073,0.00892,0.00939,0.00403,0.00387,0.00336,0.00599,0.00313,0.00027,0.01113,0.07058,0.01254,0.00088,0.00287,0.00262,0.00077,0.00093,0.01716,0.00454,0.00799,0.01291,0.03227,0.02696,0.00036,0.00349,0.00025,0.00076,0.00224,0.0115,0.02331,0.00061,0.00388,0.00512,0.00011,0.01165,0.0058,0.00593,0.008,0.01205,0.00232,0.00233,0.00961
Blautia sp. AF19-10LB,0.01286,0.00136,0.00154,0.00329,0.00029,0.00037,0.00201,0.00073,0.00191,0.00064,0.00681,0.00029,0.00075,0.00086,0.00102,0.00025,0.00029,0,0.00035,0.00037,0.00259,0.00059,0.00097,0.01132,0.00022,0.00046,0.00032,0.0125,0.00116,0.00321,0.00061,0.00907,0.00141,0.00284,0.0176,0.00053,0.00151,0.00164,0.00029,0.00043,0.00051,0.00128,0.00028,0.00045,0.00038,0.00084,0.0003,0.00074,0.00034,0.00488,0.00034,0.00109,0.00032,0.0005,0.00022,0.00594,0.00068,0.00016,0.00062,0.00189,0.00372,0.00182,0.01528,0.00639,0.0025,0.00086,0.00036,0.00152,0.00051,0.00088,0.00527,0.00142,0.00145,0.00069,0.00026,0,0.00073,0.00028,0.00451,0.00082,0.00027,0.00086,0.0001,0.00038,0.00076,0.00084,0.0004,0.00034,0.00096,0.00227,0.01527,0.00466,0.00781,0.00024,0.00065,0.00038,0.0006,0.00041,0.00031,0.00041,0.00043,0.00033,0.00104,0.00082,0.00036,0.00014,0.00211,0.00035,0.00081,0.00041,0.00349,0.00137,0.00011,0.00033,0.00048,0,0.00034,0.00013,0.00394,0.00047,0.00053,0.02254,0.00015,0.00031
Blautia sp. SG-772,0.00908,0.00207,0.00254,0.00371,0.00011,0.00008,0.0072,0.00159,0.00059,0.00161,0.00011,0.00025,0.00024,0.0027,0.01024,0.00008,0,0,0.0001,0.00034,0.00261,0.00483,0.00033,0.00129,0.00251,0.0018,0.0002,0.0002,0.00011,0.0065,0.02447,0.00518,0.00418,0.00445,0.00182,0.00061,0.00538,0.00839,0.0025,0.01111,0.00139,0.01053,0.0009,0.00018,0.00514,0.0049,0.00346,0.0003,0.00439,0.00496,0.00527,0.00556,0.0042,0.0017,0.00223,0.00515,0.0002,0.00086,0.00447,0.00176,0.00542,0.00309,0.01848,0.00375,0.00127,0.00557,0.00108,0.00294,0.00373,0.00272,0.0021,0.00034,0.00039,0.00173,0.00046,0,0.00014,0.0016,0.00029,0.00819,0.00797,0.00655,0.0007,0.00258,0.01495,0.00147,0.00181,0.00422,0.00185,0.0015,0.00025,0.003,0.01476,0.00008,0.00357,0.00607,0.00027,0.00016,0.00224,0.00022,0.00447,0.00305,0.00029,0.0034,0.00177,0.00008,0.00597,0.00013,0.00019,0.00491,0.00025,0.00813,0.00031,0.00439,0.00197,0,0.00271,0,0.00021,0.00007,0.00269,0.00231,0.00568,0.00031
Blautia sp. OF03-15BH,0.00287,0.0008,0.00053,0.0009,0.00029,0.00018,0.00141,0.00035,0.00049,0.00027,0.00013,0.00014,0.00031,0.0007,0.00008,0.00007,0,0,0,0.00107,0.00067,0.00032,0.00016,0.00127,0.00042,0.00036,0.00012,0.00017,0,0.00105,0.00074,0.00107,0.00091,0.00055,0.00063,0.00026,0.00029,0.00047,0.00093,0.00064,0.00074,0.00042,0.00029,0.0001,0.00077,0.00023,0.00209,0.00024,0.00052,0.00037,0.00089,0.00083,0.00046,0.00077,0.00041,0.0001,0.00031,0.00067,0.00098,0.00057,0.00019,0.00061,0.00119,0.00035,0.0004,0.00047,0.0002,0.00028,0.00056,0.00027,0.00069,0.00032,0.00027,0.00029,0.00024,0,0.00014,0.00027,0.0002,0.0002,0.00079,0.00125,0.00008,0.00068,0.00188,0.00017,0.00026,0.00044,0.00023,0.00063,0.00016,0.0002,0.00103,0.00009,0.00021,0.0001,0.0002,0.00061,0,0.00036,0.00053,0.00133,0.00043,0.00023,0.00031,0.00011,0.00047,0.00006,0.00027,0.00021,0.0005,0.00039,0.00007,0.00105,0.00022,0,0.00014,0,0.00037,0.00007,0.00045,0.00031,0,0.00016
Blautia sp. Marseille-P3087,0.00112,0.00193,0.00165,0.00221,0.00009,0.00014,0.00124,0.00066,0.00035,0.00023,0.00033,0.00014,0.0003,0.00197,0.00038,0.00009,0.00031,0,0,0.00168,0.00043,0.00037,0.00018,0.00031,0.00028,0.00034,0.0002,0.00022,0,0.00183,0.00038,0.0011,0.00235,0.01755,0.00118,0.00144,0.00382,0.00143,0.00329,0.00556,0.00088,0.00169,0.00048,0.00024,0.00098,0,0.00122,0.00029,0.00047,0.00055,0.00239,0.0021,0.00036,0.00082,0.00109,0.00022,0.00022,0.00035,0.001,0.0005,0.00025,0.00678,0.00313,0.0013,0.00048,0.00119,0.00052,0.00056,0.00107,0.00017,0.00053,0.00154,0.00025,0.00035,0.00118,0,0.00179,0.00121,0.00031,0.00067,0.00087,0.00308,0.00022,0.00129,0.00088,0.00118,0.00066,0.00032,0.00029,0.00124,0.00019,0.00016,0.00157,0.00016,0.00041,0.0002,0.00119,0.0003,0.00016,0.00122,0.00031,0.00217,0.00113,0.00039,0.00051,0,0.00045,0.00011,0.00033,0.00298,0.00081,0.0009,0,0.00101,0.00104,0,0.00012,0.00022,0.00128,0,0.00137,0.00025,0,0.0003
Blautia sp. Marseille-P3201T,0.00011,0.00009,0,0.00017,0.00031,0.00046,0.0001,0.00011,0,0,0.00012,0.00319,0.00009,0.00008,0.00052,0.00008,0.00023,0,0,0.00009,0.0001,0.00032,0,0.0001,0.00009,0.00008,0.00174,0.00009,0.0002,0,0.00145,0.0001,0,0,0.00013,0.00009,0.00012,0,0,0,0.00009,0.00034,0,0.00008,0,0,0,0.0001,0,0,0,0,0,0.0001,0,0.00118,0.00043,0,0,0,0,0.00008,0.00011,0.00019,0.00009,0.00008,0,0.00014,0,0,0.00013,0.00009,0.00023,0,0,0,0.00012,0,0,0,0,0,0,0,0.00012,0.00014,0,0.00009,0,0,0.0001,0.00008,0.0003,0,0,0.00012,0.0001,0.00017,0.00027,0.00021,0,0,0.00021,0.0001,0,0.00171,0.00027,0.00034,0,0.0002,0.0001,0.00012,0,0.00022,0,0,0,0,0.0001,0.00014,0,0.00031,0.00014,0.00011
Blautia sp. An81,0.00008,0,0.00008,0.00023,0.00011,0.0003,0.00012,0.00009,0,0.00008,0.0001,0.00038,0,0.00019,0.00011,0.00007,0,0,0,0,0.00017,0,0.00011,0.00009,0,0.00022,0.00031,0.00009,0,0.00007,0.0001,0.00011,0.00008,0.00016,0.00007,0.00013,0,0,0.0001,0,0,0.00011,0,0.00023,0.00008,0,0.00011,0,0.00072,0,0,0,0,0,0.00008,0.00008,0.00018,0,0,0,0,0.00008,0.00008,0.00009,0.00018,0.00013,0,0.00008,0,0,0.00009,0.00064,0.00012,0,0.00023,0,0.00017,0,0.00008,0,0,0,0,0,0.00023,0.00009,0.00007,0.00007,0,0.00015,0,0,0.00012,0,0,0.00008,0.00011,0.00008,0.0001,0.00014,0,0.00037,0.00013,0.00012,0.00008,0.00028,0.0001,0,0.0001,0.00012,0.0001,0.00008,0,0,0,0,0,0,0.00009,0.00024,0.00007,0.00012,0,0.00011
uncultured Blautia sp.,0.01804,0.01386,0.01244,0.01052,0.00243,0.02772,0.01119,0.00344,0.00218,0.00247,0.00418,0.06895,0.00568,0.00369,0.00585,0.002,0.00604,0,0.00064,0.00667,0.00776,0.00564,0.00237,0.003,0.00651,0.00261,0.00939,0.00613,0.0021,0.00816,0.01542,0.03216,0.02348,0.004,0.00744,0.00314,0.02173,0.00288,0.00363,0.00345,0.00606,0.00716,0.002,0.00204,0.00366,0.00705,0.0032,0.00649,0.00267,0.00506,0.0028,0.00382,0.00491,0.00276,0.00367,0.0074,0.00559,0.00184,0.00426,0.00331,0.00217,0.01094,0.01175,0.00562,0.00503,0.00675,0.00206,0.00464,0.00706,0.00185,0.00883,0.00868,0.00668,0.00404,0.00276,0.00042,0.00286,0.00237,0.00378,0.00169,0.00312,0.00335,0.0012,0.00286,0.06839,0.00664,0.00688,0.00451,0.00384,0.00437,0.00314,0.00254,0.01055,0.00154,0.00321,0.00542,0.01001,0.00417,0.00343,0.00506,0.00599,0.00477,0.013,0.00324,0.00263,0.00933,0.0136,0.00219,0.00429,0.00353,0.00299,0.00357,0.00109,0.00462,0.00235,0.00011,0.00141,0.00104,0.00807,0.0024,0.0032,0.01888,0.00318,0.00324
Blautia wexlerae,0.02698,0.02033,0.02948,0.0286,0.04411,0.0534,0.02516,0.00716,0.00785,0.01921,0.02834,0.00115,0.04167,0.02636,0.03395,0.01412,0.00765,0,0.00205,0.0098,0.01732,0.01749,0.01433,0.00942,0.02066,0.0264,0.05273,0.03994,0.01935,0.01161,0.04888,0.02492,0.04176,0.02916,0.00685,0.01879,0.03844,0.01734,0.00763,0.01476,0.02472,0.02466,0.00243,0.00305,0.01036,0.00278,0.01025,0.01535,0.00416,0.01201,0.01239,0.01416,0.01224,0.01591,0.01236,0.02259,0.10605,0.00272,0.00991,0.00576,0.01547,0.03053,0.02153,0.03318,0.00908,0.0586,0.00177,0.02658,0.01165,0.01168,0.00862,0.04143,0.01581,0.00945,0.01065,0.00092,0.07092,0.00294,0.03727,0.01913,0.01101,0.00561,0.00281,0.00684,0.02036,0.09719,0.0112,0.01526,0.01509,0.01237,0.00082,0.00967,0.02352,0.00707,0.00773,0.02321,0.01602,0.01774,0.04066,0.01339,0.01745,0.00684,0.02432,0.02371,0.00806,0.00257,0.02251,0.0578,0.02817,0.01182,0.01818,0.01521,0.00642,0.00745,0.00928,0,0.01151,0.00698,0.01448,0.04448,0.00874,0.02692,0.00722,0.03584
